Entity1,Entity2,Entity3,Entity4,Entity5,Entity6,Entity7,Entity8,Entity9,Entity10,Entity11,Entity12,Entity13,Entity14,Entity15
Treatment_0weeks_4955_GSM110,0.302402528762807,0.476785871745661,0.410185432399911,0.393461788653355,0.388041751990028,0.64898782812753,0.407280331080874,0.454442396515557,0.481685461165067,0.791135073439257,0.444840970551634,0.666213146418771,0.359644969343374,0.481211280814219,0.222187114375996
Treatment_1weeks_4955_GSM111,0.666505172632255,0.951166692090738,0.43031153675248,0.520197081164305,0.273392675492087,0.629850391485229,0.249205477382459,0.522302391384198,0.527224216925165,0.511282650712558,0.533284789023242,0.549516747920749,0.321872961058829,0.485963328505696,0.312297106378394
Treatment_3weeks_4955_GSM112,0.524164354926231,0.524737397666435,0.459381005131508,0.786826272839935,0.161917263977592,0.415157031948951,0.539710995311036,0.577500930014679,0.238509239643886,0.205806784047062,0.268255877451162,0.508007991060847,0.226019886654665,0.48000770155342,0.416854516349115
Treatment_8weeks_4955_GSM113,0.299473974853462,0.633500960813682,0.167577824047053,1,0.124759634034736,0.173629303292913,0.325210889172879,0.403087472763856,0.604002381753835,0.595684677707756,0.52802024781357,0.270151198532502,0,0.866865202949722,0.512278153250087
Treatment_24weeks_4955_GSM114,0.450710022461828,0.261485021668124,0.584284950613227,0.610191556865875,0.36008395280223,0.390227437747971,0.187282230594407,0.314201602781022,0.81250907937364,0.623054111968164,0.559446385774109,0.742032224058855,0.3041011337442,0.412344916285318,0.287079356135155
Treatment_0weeks_5094_GSM115,0.507447915574749,0.502456211740219,1,0.582436012385019,0.303595780040125,0.504134533017334,0.964389212317971,0.239256368356906,0.293869347555977,0.226632118024551,0.162560010168906,0.859168432927228,0.782906131228394,0.0381958241880432,0.127808453861517
Treatment_1weeks_5094_GSM116,0.624819029562301,0.556347409720387,0.825559696754732,0.491704696324859,0.438878731782336,0.446296143946784,1,0.0724282879787662,0.456306317350971,0.429650059375282,0.365233236566413,0.781374007366564,0.686182139109635,0.12294902726638,0.269889481805629
Treatment_3weeks_5094_GSM117,0.580849104194126,0.510971727384522,0.908080381584074,0.66214802173997,0.269524067994361,0.440950792052651,0.899277348961585,0.128283532528341,0.47094567012442,0.391481551215618,0.425594224944119,0.912378640617337,0.728510969846858,0.0354221264929767,0.223004244530094
Treatment_8weeks_5094_GSM118,0.622240074337186,0.467709264395151,0.842933629281119,0.580720944250451,0.354843036237271,0.437572063219611,0.960988904219765,0.110867721586629,0.442824177790774,0.353183938015396,0.194181893274981,0.908251467230469,0.687219678409999,0.0676180351811838,0.186077445751771
Treatment_24weeks_5094_GSM119,0.229805825915964,0.172928774372757,0.591718758208502,0.533588424292221,0.437990757054104,0.390218999275132,0.860206502094677,0.205071668321395,0.413807749662688,0.504198655833582,0.368128192036982,0.931270601748566,0.856329503557514,0,0.224493802046068
Treatment_0weeks_5108_GSM120,0.459867358009714,0.509678355780731,0.805769967610925,0.290517410302863,0.42632938163028,0.738270337924126,0.39487580597319,0.410738123703742,0.541132968394542,0.392994639694295,0.323349483170768,0.410326801897647,0.883747705963961,0.253165645571735,0.365647991364328
Treatment_1weeks_5108_GSM121,0.489036455052587,0.640240780836397,0.784510413486386,0.362088229552778,0.386456464741939,0.694019113829313,0.521867814153551,0.359154201067825,0.501206799661737,0.404863873140092,0.439601057989712,0.24761511443183,0.66697893671773,0.558760354515304,0.305496330577294
Treatment_3weeks_5108_GSM122,0.428045782519095,0.563322728222573,0.805323859410579,0.426752240156149,0.37543681098724,0.620415745456093,0.239712072000163,0.448805246420748,0.618360847149913,0.645112805387956,0.348266566930447,0.384622516733945,0.961783225833973,0.30242831817808,0.215803716090312
Treatment_8weeks_5108_GSM123,0.468929922890754,0.45479311095572,0.764937571733482,0.490599463753387,0.282107129105693,0.658604194502261,0.395465955451006,0.494060611265127,0.445719898037748,0.691870462007797,0.389372210798394,0.406302757429995,0.796746581042044,0.354468996180166,0.279994538842549
Treatment_24weeks_5108_GSM124,0.523069389842747,0.26392640514428,0.657086169925036,0.46104797227671,0.416403722448306,0.518435781449875,0.373065799362043,0.440129637769988,0.524591362342819,0.677258335266505,0.451378778885136,0.532073422162709,1,0.159029443499496,0.280614219290763
Treatment_0weeks_5116_GSM125,0.392844440173198,0.751148087302282,0.560178755841519,0.544033953460535,0.449906272915584,0.359914225345517,0.207381436661732,0.556147792970462,0.521163921354636,0.509995702466478,0.165693473341245,0.738971794826821,0.733731143985158,0.136752188691751,0.182180687681818
